Episode 24: reward: 55.700, steps: 267
Episode 25: reward: 61.000, steps: 290
Episode 26: reward: 197.600, steps: 816
Episode 27: reward: 168.300, steps: 703
Episode 28: reward: 79.400, steps: 354
Episode 29: reward: 33.500, steps: 175
Episode 30: reward: 53.900, steps: 259
Episode 31: reward: 49.000, steps: 240
Episode 32: reward: 75.900, steps: 339
Episode 33: reward: 29.200, steps: 162
Episode 34: reward: 54.700, steps: 267
Episode 35: reward: 26.000, steps: 150
Episode 36: reward: 5.500, steps: 65
Episode 37: reward: 44.600, steps: 226
Episode 38: reward: 129.400, steps: 554
Episode 39: reward: 22.500, steps: 135
Episode 40: reward: 7.400, steps: 74
Episode 41: reward: 54.600, steps: 266
Episode 42: reward: 65.200, steps: 302
Episode 43: reward: 3.800, steps: 58
Episode 44: reward: 36.200, steps: 192
Episode 45: reward: 55.900, steps: 269
Episode 46: reward: 40.800, steps: 208
Episode 47: reward: 493.300, steps: 1963
Episode 48: reward: 59.500, steps: 285
Episode 49: reward: 113.700, steps: 497
Episode 50: reward: 123.900, steps: 529
Episode 1: reward: 149.600, steps: 626
Episode 2: reward: 23.800, steps: 138
Episode 3: reward: 288.600, steps: 1166
Episode 4: reward: 100.200, steps: 442
Episode 5: reward: 129.400, steps: 554
Episode 6: reward: 124.100, steps: 531
Episode 7: reward: 54.400, steps: 264
Episode 8: reward: 128.000, steps: 550
Episode 9: reward: 126.300, steps: 543
Episode 10: reward: 219.400, steps: 894
Episode 11: reward: 150.800, steps: 628
Episode 12: reward: 139.900, steps: 589
Episode 13: reward: 20.800, steps: 128
Episode 14: reward: 22.700, steps: 137
Episode 15: reward: -0.400, steps: 46
Episode 16: reward: 82.900, steps: 369
Episode 17: reward: 201.300, steps: 833
Episode 18: reward: 196.300, steps: 813
Episode 19: reward: 79.800, steps: 358
Episode 20: reward: 54.500, steps: 265
Episode 21: reward: 347.200, steps: 1402
Episode 22: reward: 48.000, steps: 240
Episode 23: reward: 59.900, steps: 289
Episode 24: reward: 53.600, steps: 256
Episode 25: reward: 166.000, steps: 690
Episode 26: reward: 128.200, steps: 552
Episode 27: reward: 46.200, steps: 232
Episode 28: reward: 21.600, steps: 136
Episode 29: reward: 21.500, steps: 135
Episode 30: reward: 34.800, steps: 188
Episode 31: reward: 53.900, steps: 259
