Episode 49: reward: 208.300, steps: 863
Episode 50: reward: 14.100, steps: 101
Episode 1: reward: 53.900, steps: 259
Episode 2: reward: 14.700, steps: 107
Episode 3: reward: 166.700, steps: 697
Episode 4: reward: 92.800, steps: 408
Episode 5: reward: 47.500, steps: 235
Episode 6: reward: 53.900, steps: 259
Episode 7: reward: 134.600, steps: 576
Episode 8: reward: 24.500, steps: 145
Episode 9: reward: 243.400, steps: 994
Episode 10: reward: 39.800, steps: 208
Episode 11: reward: 56.600, steps: 276
Episode 12: reward: 54.500, steps: 265
Episode 13: reward: 25.600, steps: 146
Episode 14: reward: 22.700, steps: 137
Episode 15: reward: 145.400, steps: 614
Episode 16: reward: 55.700, steps: 267
Episode 17: reward: 235.000, steps: 960
Episode 18: reward: 39.700, steps: 207
Episode 19: reward: 126.100, steps: 541
Episode 20: reward: 129.200, steps: 552
Episode 21: reward: 20.800, steps: 128
Episode 22: reward: 52.900, steps: 259
Episode 23: reward: 246.400, steps: 1004
Episode 24: reward: 62.500, steps: 295
Episode 25: reward: 191.200, steps: 792
Episode 26: reward: 52.900, steps: 259
Episode 27: reward: 116.300, steps: 503
Episode 28: reward: 277.000, steps: 1130
Episode 29: reward: 56.500, steps: 275
Episode 30: reward: 127.600, steps: 546
Episode 31: reward: 33.700, steps: 177
Episode 32: reward: 255.900, steps: 1039
Episode 33: reward: 52.900, steps: 259
Episode 34: reward: 104.200, steps: 452
Episode 35: reward: 45.800, steps: 228
Episode 36: reward: 101.600, steps: 446
Episode 37: reward: 57.500, steps: 275
Episode 38: reward: 126.600, steps: 546
Episode 39: reward: 158.600, steps: 666
Episode 40: reward: 1.200, steps: 52
Episode 41: reward: 56.400, steps: 274
Episode 42: reward: 275.000, steps: 1120
Episode 43: reward: 198.600, steps: 826
Episode 44: reward: 11.100, steps: 91
Episode 45: reward: 53.900, steps: 259
Episode 46: reward: 6.700, steps: 77
Episode 47: reward: 4.600, steps: 66
Episode 48: reward: 32.100, steps: 171
Episode 49: reward: 203.300, steps: 843
Episode 50: reward: 52.400, steps: 254
Episode 1: reward: 346.900, steps: 1399
Episode 2: reward: 59.200, steps: 282
Episode 3: reward: 150.500, steps: 635
Episode 4: reward: 289.200, steps: 1172
Episode 5: reward: 54.800, steps: 268
Episode 6: reward: -0.200, steps: 48
Episode 7: reward: 7.300, steps: 73
Episode 8: reward: 76.100, steps: 341
Episode 9: reward: 40.900, steps: 209
Episode 10: reward: 4.200, steps: 62
Episode 11: reward: 6.400, steps: 74
Episode 12: reward: 21.500, steps: 135
Episode 13: reward: 86.600, steps: 386
Episode 14: reward: 56.100, steps: 271
Episode 15: reward: 110.200, steps: 482
Episode 16: reward: 84.500, steps: 375
Episode 17: reward: 34.800, steps: 188
Episode 18: reward: 7.600, steps: 76
Episode 19: reward: 117.500, steps: 505
Episode 20: reward: 36.500, steps: 195
Episode 21: reward: 18.100, steps: 121
Episode 22: reward: 2.400, steps: 54
Episode 23: reward: 79.100, steps: 351
Episode 24: reward: 139.900, steps: 589
Episode 25: reward: 41.800, steps: 218
Episode 26: reward: 27.800, steps: 158
Episode 27: reward: 3.100, steps: 61
Episode 28: reward: 225.200, steps: 922
Episode 29: reward: 60.700, steps: 287
Episode 30: reward: 228.800, steps: 938
Episode 31: reward: 110.200, steps: 482
Episode 32: reward: 317.400, steps: 1284
Episode 33: reward: 31.900, steps: 169
Episode 34: reward: 38.800, steps: 198
Episode 35: reward: 8.200, steps: 82
Episode 36: reward: 96.500, steps: 425
Episode 37: reward: 207.200, steps: 862
Episode 38: reward: 118.500, steps: 515
Episode 39: reward: 40.400, steps: 204
Episode 40: reward: 56.100, steps: 271
Episode 41: reward: 292.000, steps: 1180
Episode 42: reward: 41.200, steps: 212
Episode 43: reward: 130.600, steps: 556
Episode 44: reward: 52.900, steps: 259
Episode 45: reward: 156.800, steps: 658
Episode 46: reward: 25.000, steps: 150
Episode 47: reward: 36.300, steps: 193
Episode 48: reward: 2.800, steps: 58
Episode 49: reward: 65.400, steps: 304
Episode 50: reward: 41.600, steps: 216
