Episode 22: reward: 17.600, steps: 116
Episode 23: reward: 3.200, steps: 62
Episode 24: reward: 2.900, steps: 59
Episode 25: reward: 3.000, steps: 60
Episode 26: reward: 37.900, steps: 199
Episode 27: reward: 19.500, steps: 125
Episode 28: reward: 24.800, steps: 148
Episode 29: reward: 1.000, steps: 50
Episode 30: reward: 1.300, steps: 53
Episode 31: reward: 34.200, steps: 182
Episode 32: reward: 19.800, steps: 128
Episode 33: reward: 36.500, steps: 195
Episode 34: reward: 8.800, steps: 78
Episode 35: reward: 9.400, steps: 84
Episode 36: reward: 31.400, steps: 174
Episode 37: reward: -3.900, steps: 31
Episode 38: reward: 26.500, steps: 155
Episode 39: reward: 29.400, steps: 164
Episode 40: reward: -2.000, steps: 40
Episode 41: reward: 4.500, steps: 65
Episode 42: reward: 57.400, steps: 274
Episode 43: reward: 54.700, steps: 267
Episode 44: reward: 78.600, steps: 356
Episode 45: reward: 8.100, steps: 81
Episode 46: reward: 6.300, steps: 73
Episode 47: reward: 54.400, steps: 264
Episode 48: reward: 23.200, steps: 142
Episode 49: reward: 14.700, steps: 107
Episode 50: reward: 59.200, steps: 282
Episode 1: reward: 86.400, steps: 384
Episode 2: reward: 4.900, steps: 69
Episode 3: reward: 25.000, steps: 150
Episode 4: reward: 7.900, steps: 79
Episode 5: reward: 103.200, steps: 452
Episode 6: reward: 22.500, steps: 135
Episode 7: reward: 55.500, steps: 265
Episode 8: reward: 2.600, steps: 56
Episode 9: reward: 10.600, steps: 86
Episode 10: reward: -0.900, steps: 41
Episode 11: reward: 36.200, steps: 192
Episode 12: reward: 16.200, steps: 112
Episode 13: reward: 5.300, steps: 63
Episode 14: reward: 5.300, steps: 63
Episode 15: reward: -0.200, steps: 48
Episode 16: reward: 17.600, steps: 116
Episode 17: reward: 22.100, steps: 131
Episode 18: reward: 1.100, steps: 51
Episode 19: reward: 54.900, steps: 269
Episode 20: reward: 47.400, steps: 234
Episode 21: reward: 54.900, steps: 269
Episode 22: reward: 9.200, steps: 82
Episode 23: reward: 3.100, steps: 61
Episode 24: reward: 23.400, steps: 144
Episode 25: reward: 17.600, steps: 116
Episode 26: reward: 24.300, steps: 143
Episode 27: reward: 5.900, steps: 69
Episode 28: reward: 8.900, steps: 79
Episode 29: reward: 14.500, steps: 105
Episode 30: reward: 17.700, steps: 117
Episode 31: reward: 4.800, steps: 68
Episode 32: reward: 21.600, steps: 136
Episode 33: reward: 2.800, steps: 58
Episode 34: reward: 6.200, steps: 72
Episode 35: reward: 46.200, steps: 232
Episode 36: reward: 18.100, steps: 121
Episode 37: reward: 36.200, steps: 192
Episode 38: reward: -0.500, steps: 45
Episode 39: reward: 57.900, steps: 279
Episode 40: reward: 22.400, steps: 134
Episode 41: reward: 3.000, steps: 60
Episode 42: reward: -4.000, steps: 30
Episode 43: reward: 54.900, steps: 269
Episode 44: reward: 18.100, steps: 121
Episode 45: reward: 59.600, steps: 286
Episode 46: reward: 14.400, steps: 104
Episode 47: reward: 17.600, steps: 116
Episode 48: reward: 81.400, steps: 364
Episode 49: reward: 107.100, steps: 461
Episode 50: reward: -2.200, steps: 38
Episode 1: reward: 111.900, steps: 489
Episode 2: reward: 57.400, steps: 274
Episode 3: reward: 40.400, steps: 204
Episode 4: reward: 3.100, steps: 61
Episode 5: reward: 5.000, steps: 70
Episode 6: reward: 24.600, steps: 146
Episode 7: reward: 3.100, steps: 61
Episode 8: reward: -2.100, steps: 39
Episode 9: reward: -0.300, steps: 47
Episode 10: reward: 38.200, steps: 202
Episode 11: reward: 1.200, steps: 52
Episode 12: reward: 58.200, steps: 282
Episode 13: reward: 44.400, steps: 224
Episode 14: reward: -3.800, steps: 32
Episode 15: reward: 18.200, steps: 122
Episode 16: reward: 167.200, steps: 702
Episode 17: reward: -3.800, steps: 32
Episode 18: reward: 42.200, steps: 212
Episode 19: reward: 23.300, steps: 143
Episode 20: reward: 0.900, steps: 49
Episode 21: reward: 3.100, steps: 61
Episode 22: reward: 27.800, steps: 158
Episode 23: reward: 17.100, steps: 111
Episode 24: reward: 19.800, steps: 128
Episode 25: reward: 2.700, steps: 57
Episode 26: reward: -0.300, steps: 47
Episode 27: reward: 24.900, steps: 149
Episode 28: reward: -0.200, steps: 48
Episode 29: reward: 21.500, steps: 135
Episode 30: reward: 7.200, steps: 72
Episode 31: reward: -2.600, steps: 34
Episode 32: reward: 6.600, steps: 76
Episode 33: reward: 19.500, steps: 125
Episode 34: reward: -0.900, steps: 41
Episode 35: reward: 71.100, steps: 321
Episode 36: reward: 17.900, steps: 119
Episode 37: reward: 1.400, steps: 54
Episode 38: reward: 25.800, steps: 148
Episode 39: reward: 48.000, steps: 240
Episode 40: reward: 4.000, steps: 60
Episode 41: reward: -0.300, steps: 47
Episode 42: reward: 3.100, steps: 61
Episode 43: reward: 55.700, steps: 267
Episode 44: reward: 44.500, steps: 225
Episode 45: reward: -2.100, steps: 39
Episode 46: reward: -0.200, steps: 48
Episode 47: reward: 54.900, steps: 269
Episode 48: reward: 5.400, steps: 64
Episode 49: reward: 42.900, steps: 219
Episode 50: reward: 24.400, steps: 144
Episode 1: reward: 16.200, steps: 112
Episode 2: reward: 3.100, steps: 61
Episode 3: reward: 38.200, steps: 202
Episode 4: reward: 52.900, steps: 259
Episode 5: reward: 31.100, steps: 171
Episode 6: reward: 9.400, steps: 84
Episode 7: reward: 20.500, steps: 125
Episode 8: reward: 71.600, steps: 326
Episode 9: reward: 34.800, steps: 188
Episode 10: reward: 42.700, steps: 217
Episode 11: reward: 4.800, steps: 68
Episode 12: reward: -0.200, steps: 48
Episode 13: reward: 80.600, steps: 356
Episode 14: reward: 9.400, steps: 84
Episode 15: reward: 41.400, steps: 214
Episode 16: reward: 1.500, steps: 55
Episode 17: reward: -0.200, steps: 48
Episode 18: reward: 7.800, steps: 78
Episode 19: reward: 6.400, steps: 74
Episode 20: reward: 12.900, steps: 99
Episode 21: reward: 1.200, steps: 52
Episode 22: reward: 12.900, steps: 99
Episode 23: reward: -0.400, steps: 46
Episode 24: reward: 16.300, steps: 113
Episode 25: reward: 8.800, steps: 78
Episode 26: reward: 3.200, steps: 62
Episode 27: reward: 6.300, steps: 73
Episode 28: reward: 19.300, steps: 123
Episode 29: reward: -0.200, steps: 48
Episode 30: reward: 9.400, steps: 84
Episode 31: reward: 14.600, steps: 106
Episode 32: reward: 9.400, steps: 84
Episode 33: reward: 6.700, steps: 77
Episode 34: reward: 19.500, steps: 125
Episode 35: reward: 7.900, steps: 79
Episode 36: reward: 16.200, steps: 112
Episode 37: reward: 14.700, steps: 107
Episode 38: reward: 2.900, steps: 59
Episode 39: reward: 52.900, steps: 259
Episode 40: reward: 4.100, steps: 61
Episode 41: reward: 52.900, steps: 259
Episode 42: reward: 6.600, steps: 76
Episode 43: reward: 4.900, steps: 69
Episode 44: reward: -0.500, steps: 45
Episode 45: reward: 36.200, steps: 192
Episode 46: reward: 3.000, steps: 60
Episode 47: reward: 61.100, steps: 291
Episode 48: reward: 4.300, steps: 63
Episode 49: reward: 19.200, steps: 122
Episode 50: reward: 19.500, steps: 125
Episode 1: reward: 2.600, steps: 56
Episode 2: reward: 1.000, steps: 50
Episode 3: reward: 78.200, steps: 352
Episode 4: reward: 16.300, steps: 113
Episode 5: reward: -0.500, steps: 45
Episode 6: reward: 118.000, steps: 510
Episode 7: reward: 6.700, steps: 77
Episode 8: reward: 44.100, steps: 221
Episode 9: reward: 6.500, steps: 75
Episode 10: reward: 14.200, steps: 102
Episode 11: reward: 36.600, steps: 196
Episode 12: reward: 48.100, steps: 241
Episode 13: reward: 36.100, steps: 191
Episode 14: reward: 38.300, steps: 203
Episode 15: reward: 37.900, steps: 199
Episode 16: reward: 20.300, steps: 123
Episode 17: reward: 19.600, steps: 126
Episode 18: reward: 4.300, steps: 63
Episode 19: reward: 42.900, steps: 219
Episode 20: reward: 1.200, steps: 52
Episode 21: reward: 26.800, steps: 158
Episode 22: reward: 36.500, steps: 195
Episode 23: reward: 6.200, steps: 72
Episode 24: reward: 38.200, steps: 202
Episode 25: reward: 79.500, steps: 355
Episode 26: reward: 24.700, steps: 147
Episode 27: reward: 24.600, steps: 146
Episode 28: reward: 2.800, steps: 58
Episode 29: reward: 37.900, steps: 199
Episode 30: reward: 53.000, steps: 260
Episode 31: reward: 176.700, steps: 737
Episode 32: reward: 4.700, steps: 67
Episode 33: reward: 39.800, steps: 208
Episode 34: reward: 26.700, steps: 157
Episode 35: reward: 73.500, steps: 335
Episode 36: reward: 131.200, steps: 562
Episode 37: reward: 51.000, steps: 250
Episode 38: reward: 46.400, steps: 234
Episode 39: reward: 21.500, steps: 135
Episode 40: reward: 52.400, steps: 254
Episode 41: reward: 4.400, steps: 64
Episode 42: reward: -0.200, steps: 48
Episode 43: reward: 9.000, steps: 80
Episode 44: reward: 1.300, steps: 53
Episode 45: reward: 54.500, steps: 265
Episode 46: reward: 73.500, steps: 335
Episode 47: reward: 45.900, steps: 229
Episode 48: reward: 19.600, steps: 126
Episode 49: reward: 23.300, steps: 143
Episode 50: reward: -0.500, steps: 45
Episode 1: reward: 52.900, steps: 259
Episode 2: reward: 10.600, steps: 86
Episode 3: reward: 48.000, steps: 240
Episode 4: reward: -0.300, steps: 47
Episode 5: reward: -3.800, steps: 32
Episode 6: reward: 52.900, steps: 259
Episode 7: reward: 73.500, steps: 335
Episode 8: reward: 2.600, steps: 56
Episode 9: reward: 26.000, steps: 150
Episode 10: reward: 17.700, steps: 117
Episode 11: reward: 1.400, steps: 54
Episode 12: reward: 98.400, steps: 434
Episode 13: reward: 16.300, steps: 113
Episode 14: reward: 7.600, steps: 76
Episode 15: reward: 12.900, steps: 99
Episode 16: reward: 36.500, steps: 195
Episode 17: reward: 47.400, steps: 234
Episode 18: reward: 21.700, steps: 137
Episode 19: reward: -4.300, steps: 27
Episode 20: reward: -5.600, steps: 24
Episode 21: reward: 101.500, steps: 445
Episode 22: reward: 1.400, steps: 54
Episode 23: reward: 39.900, steps: 209
Episode 24: reward: 5.000, steps: 70
Episode 25: reward: -5.600, steps: 24
Episode 26: reward: 36.500, steps: 195
Episode 27: reward: 53.900, steps: 259
Episode 28: reward: 17.600, steps: 116
Episode 29: reward: 34.500, steps: 185
Episode 30: reward: 9.400, steps: 84
Episode 31: reward: 11.100, steps: 91
Episode 32: reward: 14.100, steps: 101
Episode 33: reward: -5.500, steps: 25
Episode 34: reward: 14.000, steps: 100
Episode 35: reward: 1.200, steps: 52
Episode 36: reward: 6.300, steps: 73
Episode 37: reward: 81.900, steps: 369
Episode 38: reward: 16.300, steps: 113
Episode 39: reward: 17.500, steps: 115
Episode 40: reward: 21.000, steps: 130
Episode 41: reward: 19.900, steps: 129
Episode 42: reward: 16.300, steps: 113
Episode 43: reward: 2.900, steps: 59
Episode 44: reward: 48.000, steps: 240
Episode 45: reward: 1.500, steps: 55
Episode 46: reward: 35.700, steps: 187
Episode 47: reward: -2.000, steps: 40
Episode 48: reward: 128.100, steps: 551
Episode 49: reward: 4.900, steps: 69
Episode 50: reward: 2.800, steps: 58
